x,y
1,4
2,7
3,12
4,19
5,28
6,39
7,52
8,67
9,84
10,103
11,124
12,147
13,172
14,199
15,228
16,259
17,292
18,327
19,364
20,403
21,444
22,487
23,532
24,579
25,628
26,679
27,732
28,787
29,844
30,903
31,964
32,1027
33,1092
34,1159
35,1228
36,1299
37,1372
38,1447
39,1524
40,1603
41,1684
42,1767
43,1852
44,1939
45,2028
46,2119
47,2212
48,2307
49,2404
50,2503
51,2604
52,2707
53,2812
54,2919
55,3028
56,3139
57,3252
58,3367
59,3484
60,3603
61,3724
62,3847
63,3972
64,4099
65,4228
66,4359
67,4492
68,4627
69,4764
70,4903
71,5044
72,5187
73,5332
74,5479
75,5628
76,5779
77,5932
78,6087
79,6244
80,6403
81,6564
82,6727
83,6892
84,7059
85,7228
86,7399
87,7572
88,7747
89,7924
90,8103
91,8284
92,8467
93,8652
94,8839
95,9028
96,9219
97,9412
98,9607
99,9804
100,10003
101,10204
102,10407
103,10612
104,10819
105,11028
106,11239
107,11452
108,11667
109,11884
110,12103
111,12324
112,12547
113,12772
114,12999
115,13228
116,13459
117,13692
118,13927
119,14164
120,14403
121,14644
122,14887
123,15132
124,15379
125,15628
126,15879
127,16132
128,16387
129,16644
130,16903
131,17164
132,17427
133,17692
134,17959
135,18228
136,18499
137,18772
138,19047
139,19324
140,19603
141,19884
142,20167
143,20452
144,20739
145,21028
146,21319
147,21612
148,21907
149,22204
150,22503
151,22804
152,23107
153,23412
154,23719
155,24028
156,24339
157,24652
158,24967
159,25284
160,25603
161,25924
162,26247
163,26572
164,26899
165,27228
166,27559
167,27892
168,28227
169,28564
170,28903
171,29244
172,29587
173,29932
174,30279
175,30628
176,30979
177,31332
178,31687
179,32044
180,32403
181,32764
182,33127
183,33492
184,33859
185,34228
186,34599
187,34972
188,35347
189,35724
190,36103
191,36484
192,36867
193,37252
194,37639
195,38028
196,38419
197,38812
198,39207
199,39604
200,40003
201,40404
202,40807
203,41212
204,41619
205,42028
206,42439
207,42852
208,43267
209,43684
210,44103
211,44524
212,44947
213,45372
214,45799
215,46228
216,46659
217,47092
218,47527
219,47964
220,48403
221,48844
222,49287
223,49732
224,50179
225,50628
226,51079
227,51532
228,51987
229,52444
230,52903
231,53364
232,53827
233,54292
234,54759
235,55228
236,55699
237,56172
238,56647
239,57124
240,57603
241,58084
242,58567
243,59052
244,59539
245,60028
246,60519
247,61012
248,61507
249,62004
250,62503
251,63004
252,63507
253,64012
254,64519
255,65028
256,65539
257,66052
