x,z,y
1,10,10.1
2,5,10.4
3,10,30.3
4,5,20.8
5,10,50.5
6,5,31.2
7,10,70.7
8,5,41.6
9,10,90.9
10,5,52
11,10,111.1
12,5,62.4
13,10,131.3
14,5,72.8
15,10,151.5
16,5,83.2
17,10,171.7
18,5,93.6
19,10,191.9
20,5,104
21,10,212.1
22,5,114.4
23,10,232.3
24,5,124.8
25,10,252.5
26,5,135.2
27,10,272.7
28,5,145.6
29,10,292.9
30,5,156
31,10,313.1
32,5,166.4
33,10,333.3
34,5,176.8
35,10,353.5
36,5,187.2
37,10,373.7
38,5,197.6
39,10,393.9
40,5,208
41,10,414.1
42,5,218.4
43,10,434.3
44,5,228.8
45,10,454.5
46,5,239.2
47,10,474.7
48,5,249.6
49,10,494.9
50,5,260
51,10,515.1
52,5,270.4
53,10,535.3
54,5,280.8
55,10,555.5
56,5,291.2
57,10,575.7
58,5,301.6
59,10,595.9
60,5,312
61,10,616.1
62,5,322.4
63,10,636.3
64,5,332.8
65,10,656.5
66,5,343.2
67,10,676.7
68,5,353.6
69,10,696.9
70,5,364
71,10,717.1
72,5,374.4
73,10,737.3
74,5,384.8
75,10,757.5
76,5,395.2
77,10,777.7
78,5,405.6
79,10,797.9
80,5,416
81,10,818.1
82,5,426.4
83,10,838.3
84,5,436.8
85,10,858.5
86,5,447.2
87,10,878.7
88,5,457.6
89,10,898.9
90,5,468
91,10,919.1
92,5,478.4
93,10,939.3
94,5,488.8
95,10,959.5
96,5,499.2
97,10,979.7
98,5,509.6
99,10,999.9
100,5,520
